@relation whatever

@attribute a numeric
@attribute b numeric
@attribute class { FALSE , TRUE } 


@data
0.62242,0.9473,FALSE
0.94201,0.062034,TRUE
0.042578,0.65192,FALSE
0.82116,0.040868,TRUE
0.35037,0.78039,FALSE
0.82208,0.12397,TRUE
0.016303,0.10275,FALSE
0.73602,0.062634,TRUE
0.44459,0.3316,FALSE
0.98623,0.10404,TRUE
0.67849,0.45093,FALSE
0.32661,0.073622,TRUE
0.8523,0.65822,FALSE
0.36701,0.068249,TRUE
0.33912,0.61234,FALSE
0.71082,0.14898,TRUE
0.054743,0.16353,FALSE
0.53472,0.00689,TRUE
0.96892,0.73261,FALSE
0.70479,0.092472,TRUE
0.89526,0.75293,FALSE
0.17805,0.085433,TRUE
0.34987,0.41229,FALSE
0.83483,0.003012,TRUE
0.13396,0.49728,FALSE
0.016429,0.022819,TRUE
0.61417,0.42913,FALSE
0.88177,0.17138,TRUE
0.13208,0.94536,FALSE
0.12596,0.008181,TRUE
0.51896,0.23429,FALSE
0.80168,0.16128,TRUE
0.33491,0.91607,FALSE
0.74921,0.011524,TRUE
0.41221,0.14557,FALSE
0.33409,0.015544,TRUE
0.23986,0.38891,FALSE
0.26076,0.10605,TRUE
0.63554,0.63445,FALSE
0.52128,0.040726,TRUE
0.43906,0.29254,FALSE
0.56878,0.085506,TRUE
0.51763,0.75367,FALSE
0.98791,0.16009,TRUE
0.60905,0.33784,FALSE
0.60826,0.013623,TRUE
0.77061,0.64025,FALSE
0.90342,0.15395,TRUE
0.53496,0.22303,FALSE
0.55288,0.055475,TRUE
0.84064,0.70479,FALSE
0.10445,0.10749,TRUE
0.55031,0.16539,FALSE
0.10883,0.005784,TRUE
0.081582,0.23405,FALSE
0.61037,0.086591,TRUE
0.68006,0.77173,FALSE
0.16424,0.072917,TRUE
0.59312,0.64811,FALSE
0.61397,0.000382,TRUE
0.066286,0.16525,FALSE
0.43776,0.073134,TRUE
0.78556,0.9881,FALSE
0.70625,0.002974,TRUE
0.93041,0.5259,FALSE
0.35671,0.046309,TRUE
0.59918,0.51295,FALSE
0.63909,0.018645,TRUE
0.82185,0.77574,FALSE
0.57986,0.1282,TRUE
0.29163,0.44537,FALSE
0.52021,0.038476,TRUE
0.29262,0.21491,FALSE
0.79442,0.17638,TRUE
0.69937,0.4272,FALSE
0.27742,0.12408,TRUE
0.43951,0.85666,FALSE
0.071185,0.079832,TRUE
0.71499,0.80108,FALSE
0.27564,0.12235,TRUE
0.83536,0.85836,FALSE
0.025188,0.066013,TRUE
0.42513,0.21981,FALSE
0.37337,0.042297,TRUE
0.43534,0.84613,FALSE
0.6011,0.15082,TRUE
0.11265,0.3483,FALSE
0.91442,0.14149,TRUE
0.20258,0.83347,FALSE
0.11034,0.10444,TRUE
0.61655,0.49099,FALSE
0.84867,0.10858,TRUE
0.4176,0.68409,FALSE
0.61168,0.10824,TRUE
0.14859,0.45633,FALSE
0.3202,0.12661,TRUE
0.69895,0.29509,FALSE
0.1785,0.003913,TRUE
0.81584,0.86327,FALSE
0.62106,0.035182,TRUE
0.53541,0.69295,FALSE
0.86599,0.12972,TRUE
0.69033,0.44945,FALSE
0.75904,0.037861,TRUE
0.68782,0.30714,FALSE
0.18102,0.075832,TRUE
0.57114,0.28543,FALSE
0.76809,0.045405,TRUE
0.61468,0.89248,FALSE
0.043458,0.081352,TRUE
0.38983,0.96654,FALSE
0.5415,0.002411,TRUE
0.60823,0.62157,FALSE
0.99803,0.18312,TRUE
0.83433,0.67952,FALSE
0.13192,0.037671,TRUE
0.70747,0.53385,FALSE
0.89784,0.004159,TRUE
0.45976,0.28165,FALSE
0.24802,0.10325,TRUE
0.45546,0.85962,FALSE
0.48822,0.11064,TRUE
0.076707,0.28911,FALSE
0.46013,0.078712,TRUE
0.52758,0.17958,FALSE
0.086225,0.037032,TRUE
0.98635,0.6245,FALSE
0.80487,0.078911,TRUE
0.27563,0.55873,FALSE
0.76882,0.10251,TRUE
0.97838,0.66185,FALSE
0.2986,0.10141,TRUE
0.10529,0.6206,FALSE
0.8922,0.027004,TRUE
0.25776,0.17444,FALSE
0.094202,0.049668,TRUE
0.81054,0.72232,FALSE
0.42072,0.017521,TRUE
0.41361,0.63104,FALSE
0.77771,0.002572,TRUE
0.17048,0.30588,FALSE
0.66041,0.12028,TRUE
0.38514,0.14254,FALSE
0.33548,0.077839,TRUE
0.19641,0.97948,FALSE
0.82935,0.1802,TRUE
0.43424,0.29257,FALSE
0.021967,0.041021,TRUE
0.17599,0.82497,FALSE
0.40032,0.047581,TRUE
0.44919,0.57689,FALSE
0.65909,0.074584,TRUE
0.76062,0.73537,FALSE
0.23551,0.044636,TRUE
0.94869,0.68144,FALSE
0.53487,0.1214,TRUE
0.43989,0.25508,FALSE
0.003157,0.01066,TRUE
0.77981,0.36175,FALSE
0.010481,0.031153,TRUE
0.90477,0.53187,FALSE
0.99633,0.064866,TRUE
0.98669,0.35278,FALSE
0.007978,0.01802,TRUE
0.31418,0.45189,FALSE
0.37231,0.08247,TRUE
0.35758,0.92244,FALSE
0.62128,0.15978,TRUE
0.74522,0.96704,FALSE
0.47436,0.099578,TRUE
0.014604,0.50341,FALSE
0.92504,0.040803,TRUE
0.23328,0.7591,FALSE
0.32524,0.067322,TRUE
0.39705,0.30992,FALSE
0.49392,0.059263,TRUE
0.1911,0.8627,FALSE
0.066701,0.010036,TRUE
0.39969,0.6421,FALSE
0.35583,0.095546,TRUE
0.19017,0.21749,FALSE
0.01209,0.039551,TRUE
0.66341,0.97203,FALSE
0.73681,0.1053,TRUE
0.74462,0.79087,FALSE
0.67315,0.14185,TRUE
0.22444,0.27265,FALSE
0.34606,0.049136,TRUE
0.1833,0.80453,FALSE
0.7099,0.055082,TRUE
0.78483,0.65732,FALSE
0.70779,0.14847,TRUE
0.33908,0.98304,FALSE
0.53426,0.047556,TRUE
0.36669,0.91262,FALSE
0.15012,0.015323,TRUE
0.65905,0.67923,FALSE
0.61347,0.13198,TRUE
0.6479,0.26419,FALSE
0.64258,0.15547,TRUE
0.69948,0.2224,FALSE
0.77184,0.062669,TRUE
0.39354,0.25278,FALSE
0.049209,0.011058,TRUE
0.24248,0.40194,FALSE
0.020834,0.032932,TRUE
0.4158,0.41732,FALSE
0.75767,0.040446,TRUE
0.84106,0.69307,FALSE
0.4845,0.003192,TRUE
0.19984,0.691,FALSE
0.59573,0.09956,TRUE
0.5377,0.17539,FALSE
0.86259,0.10283,TRUE
0.95244,0.67143,FALSE
0.13347,0.032878,TRUE
0.88783,0.79357,FALSE
0.75755,0.032967,TRUE
0.3979,0.51316,FALSE
0.5648,0.11586,TRUE
0.20706,0.20408,FALSE
0.048092,0.055008,TRUE
0.5876,0.76338,FALSE
0.18946,0.044374,TRUE
0.92981,0.40515,FALSE
0.49483,0.10912,TRUE
0.081647,0.31856,FALSE
0.55046,0.099323,TRUE
0.59796,0.85825,FALSE
0.82449,0.043884,TRUE
0.76458,0.37227,FALSE
0.55388,0.015576,TRUE
0.95971,0.87337,FALSE
0.24475,0.091738,TRUE
0.16348,0.62761,FALSE
0.76875,0.075139,TRUE
0.32543,0.47584,FALSE
0.96972,0.013134,TRUE
0.71888,0.33066,FALSE
0.50646,0.020988,TRUE
0.74966,0.59142,FALSE
0.00405,0.013641,TRUE
0.28944,0.65141,FALSE
0.20588,0.033254,TRUE
0.54166,0.70314,FALSE
0.81862,0.11902,TRUE
0.67117,0.40947,FALSE
0.35795,0.021031,TRUE
0.32395,0.63171,FALSE
0.44349,0.13323,TRUE
0.021231,0.85164,FALSE
0.38801,0.064947,TRUE
0.94516,0.33023,FALSE
0.64042,0.1228,TRUE
0.25258,0.18109,FALSE
0.35536,0.10857,TRUE
0.36751,0.84641,FALSE
0.77879,0.015412,TRUE
0.17005,0.98652,FALSE
0.20291,0.063479,TRUE
0.46229,0.70015,FALSE
0.55426,0.073335,TRUE
0.70246,0.28386,FALSE
0.5131,0.14237,TRUE
0.4091,0.79309,FALSE
0.52034,0.058689,TRUE
0.92723,0.93922,FALSE
0.29931,0.10671,TRUE
0.094354,0.82761,FALSE
0.66257,0.15417,TRUE
0.29998,0.73874,FALSE
0.93071,0.075472,TRUE
0.30244,0.2146,FALSE
0.4065,0.019309,TRUE
0.673,0.19545,FALSE
0.51996,0.003275,TRUE
0.22809,0.53583,FALSE
0.79838,0.081314,TRUE
0.23777,0.32517,FALSE
0.96293,0.19298,TRUE
0.069401,0.47685,FALSE
0.4361,0.098733,TRUE
0.049877,0.35783,FALSE
0.75613,0.043894,TRUE
0.66974,0.37487,FALSE
0.087419,0.051778,TRUE
0.15455,0.6256,FALSE
0.18984,0.1115,TRUE
0.1893,0.5438,FALSE
0.70152,0.095242,TRUE
0.62253,0.86954,FALSE
0.72044,0.069016,TRUE
0.75173,0.45946,FALSE
0.84684,0.1606,TRUE
0.84329,0.26094,FALSE
0.43577,0.003195,TRUE
0.48888,0.64923,FALSE
0.61149,0.072895,TRUE
0.69731,0.71599,FALSE
0.31435,0.06917,TRUE
0.7273,0.74166,FALSE
0.63219,0.049968,TRUE
0.099993,0.62904,FALSE
0.47681,0.136,TRUE
0.6466,0.52682,FALSE
0.70471,0.015317,TRUE
0.15681,0.5222,FALSE
0.34155,0.078404,TRUE
0.65374,0.45727,FALSE
0.73634,0.12922,TRUE
0.55651,0.31158,FALSE
0.10342,0.036258,TRUE
0.90597,0.71695,FALSE
0.10242,0.059528,TRUE
0.46098,0.73256,FALSE
0.72177,0.158,TRUE
0.84438,0.49088,FALSE
0.48196,0.055505,TRUE
0.3579,0.30078,FALSE
0.73902,0.13348,TRUE
0.4451,0.74685,FALSE
0.64236,0.027488,TRUE
0.97343,0.51143,FALSE
0.30984,0.07876,TRUE
0.6362,0.65134,FALSE
0.96782,0.040713,TRUE
0.33574,0.82521,FALSE
0.86408,0.13677,TRUE
0.1891,0.25657,FALSE
0.92018,0.10518,TRUE
0.47753,0.88116,FALSE
0.78639,0.17289,TRUE
0.26191,0.84841,FALSE
0.92169,0.17852,TRUE
0.91493,0.33381,FALSE
0.17288,0.11513,TRUE
0.7112,0.26472,FALSE
0.45032,0.091426,TRUE
0.98825,0.55548,FALSE
0.81351,0.13574,TRUE
0.56204,0.25354,FALSE
0.27246,0.050914,TRUE
0.57477,0.23747,FALSE
0.088734,0.071048,TRUE
0.55411,0.96207,FALSE
0.73895,0.097403,TRUE
0.2582,0.5914,FALSE
0.71281,0.056806,TRUE
0.70419,0.39157,FALSE
0.87144,0.051406,TRUE
0.9174,0.78068,FALSE
0.33552,0.009095,TRUE
0.29763,0.33535,FALSE
0.93616,0.019543,TRUE
0.25681,0.22624,FALSE
0.38361,0.072347,TRUE
0.69476,0.79463,FALSE
0.83587,0.080924,TRUE
0.44465,0.33698,FALSE
0.68354,0.068389,TRUE
0.086413,0.40812,FALSE
0.98778,0.10956,TRUE
0.56134,0.42577,FALSE
0.50619,0.10862,TRUE
0.87217,0.6042,FALSE
0.5565,0.033619,TRUE
0.13995,0.27976,FALSE
0.86084,0.039588,TRUE
0.81178,0.63615,FALSE
0.75058,0.002447,TRUE
0.64023,0.43385,FALSE
0.54469,0.12919,TRUE
0.12424,0.26593,FALSE
0.67068,0.015733,TRUE
0.082568,0.74263,FALSE
0.71313,0.12175,TRUE
0.096042,0.26465,FALSE
0.78194,0.022168,TRUE
0.89462,0.81656,FALSE
0.46198,0.10515,TRUE
0.55865,0.28085,FALSE
0.19424,0.10538,TRUE
0.28637,0.1673,FALSE
0.69337,0.093432,TRUE
0.58027,0.67265,FALSE
0.81897,0.093113,TRUE
0.71914,0.62594,FALSE
0.6133,0.1342,TRUE
0.23507,0.77886,FALSE
0.28056,0.07051,TRUE
0.30311,0.42036,FALSE
0.54783,0.061821,TRUE
0.13993,0.83503,FALSE
0.26995,0.023574,TRUE
0.015674,0.49092,FALSE
0.29747,0.10301,TRUE
0.43247,0.61015,FALSE
0.83521,0.079155,TRUE
0.78803,0.43383,FALSE
0.53544,0.017717,TRUE
0.81253,0.31791,FALSE
0.73925,0.12163,TRUE
0.22064,0.41946,FALSE
0.67474,0.065846,TRUE
0.33401,0.71769,FALSE
0.92573,0.15688,TRUE
0.32208,0.31052,FALSE
0.35072,0.11232,TRUE
0.079471,0.70326,FALSE
0.29845,0.020841,TRUE
0.37357,0.66918,FALSE
0.40837,0.088928,TRUE
0.048829,0.69924,FALSE
0.20617,0.021409,TRUE
0.084239,0.81896,FALSE
0.75665,0.0115,TRUE
0.42699,0.49453,FALSE
0.71135,0.11754,TRUE
0.66218,0.39559,FALSE
0.9966,0.17093,TRUE
0.29305,0.27968,FALSE
0.62778,0.020284,TRUE
0.54986,0.56079,FALSE
0.02859,0.10148,TRUE
0.12164,0.42332,FALSE
0.86032,0.066726,TRUE
0.35064,0.22609,FALSE
0.60794,0.11288,TRUE
0.978,0.36278,FALSE
0.7422,0.027884,TRUE
0.2335,0.44478,FALSE
0.4942,0.008009,TRUE
0.006789,0.19085,FALSE
0.54331,0.092178,TRUE
0.16067,0.39894,FALSE
0.51689,0.058906,TRUE
0.18295,0.81393,FALSE
0.54562,0.037724,TRUE
0.14769,0.33609,FALSE
0.77694,0.009058,TRUE
0.157,0.75301,FALSE
0.58763,0.060715,TRUE
0.15764,0.50167,FALSE
0.94366,0.019447,TRUE
0.19865,0.75609,FALSE
0.9463,0.086059,TRUE
0.99646,0.55231,FALSE
0.58388,0.070827,TRUE
0.97469,0.72474,FALSE
0.72872,0.10954,TRUE
0.94218,0.25,FALSE
0.32226,0.037791,TRUE
0.73108,0.31703,FALSE
0.90303,0.051991,TRUE
0.033542,0.76763,FALSE
0.54615,0.028928,TRUE
0.96864,0.911,FALSE
0.010256,0.074596,TRUE
0.69332,0.74318,FALSE
0.95887,0.13467,TRUE
0.69149,0.84714,FALSE
0.35546,0.030088,TRUE
0.41304,0.96667,FALSE
0.64373,0.052506,TRUE
0.35755,0.43533,FALSE
0.79535,0.089015,TRUE
0.35183,0.21471,FALSE
0.70012,0.16714,TRUE
0.68583,0.81595,FALSE
0.81641,0.079335,TRUE
0.95717,0.30455,FALSE
0.43149,0.003086,TRUE
0.30086,0.65319,FALSE
0.56413,0.073059,TRUE
0.5504,0.58686,FALSE
0.78172,0.077563,TRUE
0.096256,0.80068,FALSE
0.74103,0.11047,TRUE
0.47957,0.26886,FALSE
0.63221,0.09858,TRUE
0.13754,0.70003,FALSE
0.3153,0.059864,TRUE
0.64309,0.54266,FALSE
0.52736,0.061153,TRUE
0.97938,0.55866,FALSE
0.28729,0.091212,TRUE
0.013012,0.7269,FALSE
0.81121,0.000505,TRUE
0.40904,0.71156,FALSE
0.51677,0.087982,TRUE
0.54175,0.32,FALSE
0.40253,0.071858,TRUE
0.56827,0.98099,FALSE
0.89687,0.14275,TRUE
0.6667,0.25704,FALSE
0.5399,0.007306,TRUE
2.7e-005,0.50181,FALSE
0.57313,0.10112,TRUE
0.69678,0.73635,FALSE
0.52678,0.13203,TRUE
0.83777,0.51712,FALSE
0.10695,0.083634,TRUE
0.16605,0.74707,FALSE
0.74753,0.14332,TRUE
0.14303,0.95122,FALSE
0.015439,0.097483,TRUE
0.94938,0.25533,FALSE
0.74984,0.11805,TRUE
0.65212,0.22347,FALSE
0.8072,0.13666,TRUE
0.41746,0.3266,FALSE
0.58717,0.12621,TRUE
0.61318,0.812,FALSE
0.74447,0.066646,TRUE
0.58108,0.24631,FALSE
0.36619,0.1205,TRUE
0.11815,0.76605,FALSE
0.060705,0.054149,TRUE
0.40325,0.4457,FALSE
0.80287,0.15523,TRUE
0.89207,0.94209,FALSE
0.89999,0.042683,TRUE
0.85799,0.29047,FALSE
0.38883,0.026259,TRUE
0.71598,0.49607,FALSE
0.31208,0.040293,TRUE
0.040851,0.62298,FALSE
0.46785,0.034604,TRUE
0.93266,0.24187,FALSE
0.12745,0.014941,TRUE
0.60193,0.64166,FALSE
0.69834,0.014863,TRUE
0.018096,0.2328,FALSE
0.97443,0.040759,TRUE
0.18585,0.55476,FALSE
0.34629,0.005946,TRUE
0.70387,0.96048,FALSE
0.048684,0.046939,TRUE
0.55142,0.72207,FALSE
0.79839,0.11091,TRUE
0.35427,0.31206,FALSE
0.11962,0.10557,TRUE
0.1497,0.94449,FALSE
0.41016,0.12602,TRUE
0.22315,0.58938,FALSE
0.88089,0.022447,TRUE
0.35921,0.24221,FALSE
0.65868,0.070289,TRUE
0.71186,0.28641,FALSE
0.042862,0.076464,TRUE
0.68774,0.87713,FALSE
0.79186,0.14544,TRUE
0.020174,0.15483,FALSE
0.86349,0.14913,TRUE
0.29651,0.42083,FALSE
0.30586,0.12785,TRUE
0.096038,0.19798,FALSE
0.64524,0.11017,TRUE
0.31247,0.65936,FALSE
0.67231,0.085466,TRUE
0.14944,0.63788,FALSE
0.65903,0.05902,TRUE
0.76969,0.20171,FALSE
0.29905,0.02662,TRUE
0.052206,0.48413,FALSE
0.41534,0.13244,TRUE
0.96475,0.59043,FALSE
0.58978,0.076674,TRUE
0.30711,0.6848,FALSE
0.81133,0.008944,TRUE
0.6164,0.83896,FALSE
0.7649,0.13146,TRUE
0.31392,0.97526,FALSE
0.46315,0.048794,TRUE
0.36617,0.23429,FALSE
0.84407,0.069322,TRUE
0.44894,0.47306,FALSE
0.74934,0.031906,TRUE
0.2529,0.51473,FALSE
0.79479,0.018858,TRUE
0.76485,0.78059,FALSE
0.57914,0.11963,TRUE
0.86243,0.92457,FALSE
0.59812,0.13565,TRUE
0.042807,0.50627,FALSE
0.92553,0.077685,TRUE
0.25482,0.82065,FALSE
0.69144,0.001065,TRUE
0.45643,0.23493,FALSE
0.81699,0.01821,TRUE
0.31613,0.26504,FALSE
0.90654,0.049075,TRUE
0.98448,0.25865,FALSE
0.76253,0.15046,TRUE
0.49203,0.64049,FALSE
0.38057,0.055371,TRUE
0.11558,0.57805,FALSE
0.37872,0.013901,TRUE
0.18379,0.11973,FALSE
0.74876,0.080492,TRUE
0.14472,0.41542,FALSE
0.34453,0.08831,TRUE
0.098924,0.64858,FALSE
0.36754,0.04067,TRUE
0.70661,0.94978,FALSE
0.82451,0.097103,TRUE
0.049377,0.89513,FALSE
0.65837,0.032791,TRUE
0.57205,0.43863,FALSE
0.64512,0.1073,TRUE
0.72194,0.69118,FALSE
0.9254,0.039493,TRUE
0.77718,0.20187,FALSE
0.70805,0.039559,TRUE
0.35496,0.80148,FALSE
0.77868,0.06216,TRUE
0.59048,0.29827,FALSE
0.53416,0.11816,TRUE
0.27501,0.16475,FALSE
0.14063,0.098968,TRUE
0.77514,0.87958,FALSE
0.90422,0.056054,TRUE
0.45634,0.76303,FALSE
0.64397,0.034242,TRUE
0.48586,0.82452,FALSE
0.68418,0.011129,TRUE
0.18997,0.86215,FALSE
0.82756,0.16383,TRUE
0.031,0.11518,FALSE
0.47536,0.074928,TRUE
0.57481,0.76833,FALSE
0.69721,0.012312,TRUE
0.035943,0.18875,FALSE
0.25532,0.015645,TRUE
0.7123,0.71659,FALSE
0.5579,0.13784,TRUE
0.46769,0.55007,FALSE
0.83187,0.054388,TRUE
0.52472,0.93954,FALSE
0.99655,0.18539,TRUE
0.93518,0.55032,FALSE
0.4641,0.04006,TRUE
0.42479,0.53169,FALSE
0.60519,0.079068,TRUE
0.4674,0.59919,FALSE
0.71691,0.008975,TRUE
0.21942,0.78693,FALSE
0.8552,0.058841,TRUE
0.73055,0.42615,FALSE
0.57491,0.116,TRUE
0.34989,0.59093,FALSE
0.95995,0.19027,TRUE
0.040353,0.29135,FALSE
0.30226,0.000369,TRUE
0.01724,0.77264,FALSE
0.66506,0.13949,TRUE
0.85869,0.96293,FALSE
0.81602,0.15582,TRUE
0.31195,0.91243,FALSE
0.76172,0.03717,TRUE
0.60162,0.50043,FALSE
0.77564,0.045669,TRUE
0.78802,0.29558,FALSE
0.58807,0.13355,TRUE
0.58709,0.30644,FALSE
0.11609,0.033428,TRUE
0.093353,0.98583,FALSE
0.37861,0.073241,TRUE
0.82573,0.19182,FALSE
0.62626,0.125,TRUE
0.34728,0.82033,FALSE
0.52143,0.11668,TRUE
0.39737,0.67192,FALSE
0.23169,0.005389,TRUE
0.87533,0.70916,FALSE
0.7401,0.16344,TRUE
0.5473,0.55718,FALSE
0.58335,0.072567,TRUE
0.1814,0.80791,FALSE
0.90061,0.10106,TRUE
0.33784,0.19041,FALSE
0.40573,0.01452,TRUE
0.19284,0.97996,FALSE
0.79028,0.039232,TRUE
0.55553,0.80682,FALSE
0.50802,0.044903,TRUE
0.46459,0.45263,FALSE
0.23998,0.064753,TRUE
0.51767,0.47888,FALSE
0.41352,0.016896,TRUE
0.85341,0.29533,FALSE
0.6446,0.15906,TRUE
0.48174,0.6657,FALSE
0.45156,0.090358,TRUE
0.20798,0.62701,FALSE
0.5595,0.11249,TRUE
0.40316,0.9046,FALSE
0.53416,0.10905,TRUE
0.74155,0.26625,FALSE
0.55529,0.15366,TRUE
0.1075,0.71271,FALSE
0.81743,0.10838,TRUE
0.26351,0.80577,FALSE
0.93152,0.009322,TRUE
0.33631,0.48311,FALSE
0.37791,0.10882,TRUE
0.41985,0.53432,FALSE
0.66949,0.014905,TRUE
0.54838,0.59981,FALSE
0.64514,0.16241,TRUE
0.16746,0.56823,FALSE
0.99655,0.18638,TRUE
0.33013,0.59872,FALSE
0.24492,0.061189,TRUE
0.005419,0.16234,FALSE
0.33429,0.078023,TRUE
0.63562,0.9456,FALSE
0.049341,0.054393,TRUE
0.95329,0.94789,FALSE
0.94399,0.12163,TRUE
0.2691,0.73486,FALSE
0.69598,0.052528,TRUE
0.17895,0.67229,FALSE
0.85718,0.11951,TRUE
0.060454,0.13977,FALSE
0.6046,0.10606,TRUE
0.92697,0.66205,FALSE
0.95412,0.18281,TRUE
0.72797,0.96828,FALSE
0.74791,0.03077,TRUE
0.76301,0.87124,FALSE
0.50085,0.14736,TRUE
0.19389,0.68653,FALSE
0.88973,0.13326,TRUE
0.1858,0.79063,FALSE
0.17439,0.005265,TRUE
0.41753,0.51791,FALSE
0.26284,0.1172,TRUE
0.11272,0.59524,FALSE
0.93595,0.092233,TRUE
0.82893,0.87444,FALSE
0.22386,0.093314,TRUE
0.65195,0.41478,FALSE
0.30858,0.058352,TRUE
0.58647,0.88525,FALSE
0.083371,0.044103,TRUE
0.15563,0.62488,FALSE
0.89961,0.15344,TRUE
0.1011,0.19899,FALSE
0.54159,0.087458,TRUE
0.56022,0.63814,FALSE
0.39761,0.11179,TRUE
0.83488,0.81805,FALSE
0.82667,0.17898,TRUE
0.25511,0.66437,FALSE
0.36113,0.10343,TRUE
0.34905,0.56614,FALSE
0.93086,0.002328,TRUE
0.60655,0.39045,FALSE
0.075452,0.02481,TRUE
0.87903,0.85953,FALSE
0.74805,0.09666,TRUE
0.80181,0.98257,FALSE
0.58476,0.02202,TRUE
0.42506,0.15248,FALSE
0.025848,0.084276,TRUE
0.095427,0.85491,FALSE
0.49813,0.004573,TRUE
0.26335,0.2277,FALSE
0.66964,0.12003,TRUE
0.71337,0.71385,FALSE
0.25326,0.10579,TRUE
0.8296,0.2325,FALSE
0.39273,0.12743,TRUE
0.2705,0.42314,FALSE
0.54747,0.061735,TRUE
0.90699,0.77482,FALSE
0.96571,0.13471,TRUE
0.32127,0.64844,FALSE
0.79223,0.007295,TRUE
0.99731,0.84253,FALSE
0.41924,0.050141,TRUE
0.55832,0.69049,FALSE
0.17056,0.10252,TRUE
0.38226,0.64868,FALSE
0.27008,0.050084,TRUE
0.66136,0.57718,FALSE
0.088441,0.084999,TRUE
0.92986,0.20649,FALSE
0.71239,0.033501,TRUE
0.26189,0.684,FALSE
0.84783,0.095057,TRUE
0.11031,0.13577,FALSE
0.96961,0.02887,TRUE
0.11266,0.49504,FALSE
0.10963,0.095505,TRUE
0.80213,0.47985,FALSE
0.46811,0.11113,TRUE
0.72634,0.58345,FALSE
0.33053,0.042597,TRUE
0.62381,0.4256,FALSE
0.51721,0.14215,TRUE
0.77769,0.73078,FALSE
0.031556,0.073645,TRUE
0.79614,0.69461,FALSE
0.060884,0.054903,TRUE
0.73787,0.51614,FALSE
0.18215,0.074929,TRUE
0.64674,0.73576,FALSE
0.46573,0.10298,TRUE
0.30228,0.53211,FALSE
0.42301,0.10884,TRUE
0.66858,0.85657,FALSE
0.4799,0.1282,TRUE
0.9604,0.49733,FALSE
0.36586,0.005194,TRUE
0.49796,0.35185,FALSE
0.11014,0.010986,TRUE
0.2195,0.22796,FALSE
0.584,0.040539,TRUE
0.6741,0.68396,FALSE
0.055277,0.007619,TRUE
0.22615,0.92515,FALSE
0.69725,0.13686,TRUE
